화면 구분,기능 구분,화면명/경로,주요 기능(컴포넌트/버튼),기능 흐름/상태,정책/유의사항,입력/출력 데이터 구조
3. 의뢰/매칭,프리랜서 상세,/freelancer/{id},"프로필/경력/자격/후기, 매칭요청/문의, 첨부파일미리보기, 리뷰작성/신고",1. 정보확인→매칭/문의(상태별 버튼 제어),미인증/불량 프로필 제한,"{profile, cert_info, review_list}"
3. 의뢰/매칭,매칭 요청/관리,"/match/list, /match/detail","매칭요청 리스트/상태, 채팅 바로가기, 매칭취소, 히스토리","1. 요청→상태확인→채팅/취소, 동시매칭 방지",중복매칭/악용 방지,"{match_id, status, history, chat_link}"
4. 채팅/계약/결제/정산,채팅,/chat/{roomId},"1:1메시지, 파일전송(이미지/문서), 읽음/전송상태, 신고/나가기",1. 채팅→파일전송→상태확인,"파일업로드/용량, 욕설필터","{chat_id, sender, msg, file, timestamp, read_status}"
4. 채팅/계약/결제/정산,계약/예약 확정,"/contract/new, /contract/{id}","일정/조건 확인, 계약내용입력, 전자서명, 계약서 다운로드, 확정/취소",1. 조건확인→서명→확정/취소(이력저장),"확정 전 취소 가능, 이후 제한","{contract_id, conditions, signature, status}"
4. 채팅/계약/결제/정산,결제,/payment/new,"결제정보, 결제수단선택, PG연동, 결제진행/취소, 결제완료 알림",1. 정보확인→결제→완료/실패,"미결제시 진행제한, 이중결제 방지","{payment_id, amount, method, status}"
4. 채팅/계약/결제/정산,결제 이력,/payment/history,"결제내역 리스트/상세, 영수증/세금계산서 발급",1. 목록→상세/다운로드,세금계산서 자동발급,{payment_history[]}
4. 채팅/계약/결제/정산,정산/지급,/settlement/list,"정산요청/상태, 지급내역, 지급요청/취소",1. 요청→승인→지급,지급승인 후 취소불가,"{settlement_id, amount, fee, status, date}"
5. 후기/평가,후기 작성,/review/new,"평점(별1~5), 텍스트리뷰(500자), 등록/취소",1. 완료 후 작성가능,"일정기간 내 작성허용, 허위/욕설필터","{target_id, score, content, date}"
5. 후기/평가,후기 리스트,/review/list,"받은/작성한 리뷰, 평점평균, 신고",1. 필터/정렬→상세,"블라인드 리뷰, 신고알림",{review_list[]}
6. 관리자(백오피스),관리자 대시보드,/admin/dashboard,"회원/의뢰/매칭/결제/정산/리뷰 통계, 그래프, 기간별 필터",1. 접속→필터/조회,엑셀다운로드 지원,{stat_data[]}
6. 관리자(백오피스),회원 관리,/admin/user,"회원리스트/상세, 상태(정상/정지/탈퇴), 검색/필터, 직접정지/삭제",1. 목록→상세/관리,강제탈퇴/정지 사유 기록,"{user_id, status, logs}"
6. 관리자(백오피스),경력·자격 인증 관리,/admin/certificate,"인증요청 리스트/상세, 첨부파일 미리보기, 승인/반려, 승인내역 검색",1. 리스트→상세→승인/반려,승인시 알림발송,"{cert_id, file, status, reason, logs}"
6. 관리자(백오피스),의뢰/매칭 관리,"/admin/request, /admin/match","전체 의뢰/매칭 리스트/상세, 진행상태 변경, 문제/신고 처리",1. 목록→상세/관리,수동개입 이력저장,"{request_id, match_id, status, logs}"
6. 관리자(백오피스),결제/정산 관리,"/admin/payment, /admin/settlement","결제/정산 리스트/상세, 지급/반려, 문서다운",1. 목록→지급/반려,지급/반려시 알림,"{payment_id, settlement_id, status}"
6. 관리자(백오피스),리뷰/신고/문의 관리,"/admin/review, /admin/report","리뷰신고 리스트/상세, 블라인드, 문의답변, 이력관리",1. 리스트→상세→처리,처리결과 기록/알림,"{review_id, report_id, status, logs}"
6. 관리자(백오피스),공지/이벤트 관리,/admin/notice,"공지사항 등록/수정/삭제, 기간/노출 설정, 미리보기",1. 등록→수정/삭제,기간 경과 자동비노출,"{notice_id, title, content, status, date}"
7. 공통/알림/보안,알림센터,전역,"알림리스트, 읽음처리, 상세바로가기",1. 수신→읽음→이동,수신거부/설정 지원,"{alarm_id, type, link, read}"
7. 공통/알림/보안,개인정보/보안 설정,/profile/security,"비밀번호변경, 2차인증, 탈퇴/데이터삭제",1. 변경/탈퇴→완료,탈퇴 후 데이터보관,"{user_id, change_log, delete_req}"
7. 공통/알림/보안,로그/이력관리,(관리자),"주요 행위 이력 리스트/필터, 상세조회",1. 조회/필터/내보내기,모든 상태변경 로그 자동기록,"{log_id, user, action, date}"
